Name,Position,Team,Tier
Jayden Higgins,WR,HOU,8
Kyle Pitts,TE,ATL,9
Braelon Allen,RB,NYJ,9
Jaydon Blue,RB,DAL,9
Jerome Ford,RB,CLE,9
Romeo Doubs,WR,GB,9
Zach Ertz,TE,WAS,9
Adam Thielen,WR,CAR,9
Geno Smith,QB,LV,9
Quentin Johnston,WR,LAC,9
Kyle Williams,WR,NE,9
Jalen McMillan,WR,TB,9
Roschon Johnson,RB,CHI,9
Isaiah Likely,TE,BAL,9
MarShawn Lloyd,RB,GB,9
Dylan Sampson,RB,CLE,9
Nick Chubb,RB,HOU,9
Wan'Dale Robinson,WR,NYG,9
Blake Corum,RB,LAR,9
Xavier Legette,WR,CAR,9
DeAndre Hopkins,WR,BAL,9
Sam Darnold,QB,SEA,9
Joshua Palmer,WR,BUF,9
Denver Broncos,DST,DEN,9
DeMario Douglas,WR,NE,9
Mike Gesicki,TE,CIN,9
Brenton Strange,TE,JAC,9
Philadelphia Eagles,DST,PHI,9
Cameron Ward,QB,TEN,9
Pat Freiermuth,TE,PIT,9
Jalen Coker,WR,CAR,9
Jack Bech,WR,LV,9
Kareem Hunt,RB,KC,9
Alec Pierce,WR,IND,9
Cade Otton,TE,TB,9
Baltimore Ravens,DST,BAL,9
Minnesota Vikings,DST,MIN,9
Pittsburgh Steelers,DST,PIT,10
DJ Giddens,RB,IND,10
Chig Okonkwo,TE,TEN,10
Justice Hill,RB,BAL,10
Houston Texans,DST,HOU,10
Aaron Rodgers,QB,PIT,10
Kansas City Chiefs,DST,KC,10
Michael Wilson,WR,ARI,10
Buffalo Bills,DST,BUF,10
Mason Taylor,TE,NYJ,10
Brandon Aubrey,K,DAL,10
Adonai Mitchell,WR,IND,10
Dalton Schultz,TE,HOU,10
Jake Bates,K,DET,10
Dontayvion Wicks,WR,GB,10
Detroit Lions,DST,DET,10
Kendre Miller,RB,NO,10
Jaylin Noel,WR,HOU,10
Los Angeles Rams,DST,LAR,10
Darius Slayton,WR,NYG,10
Wil Lutz,K,DEN,10
Los Angeles Chargers,DST,LAC,10
Cameron Dicker,K,LAC,10
Green Bay Packers,DST,GB,10
Andrei Iosivas,WR,CIN,10
Devin Neal,RB,NO,10
Chris Boswell,K,PIT,10
Seattle Seahawks,DST,SEA,10
Will Shipley,RB,PHI,10
Chase McLaughlin,K,TB,10
Kyle Monangai,RB,CHI,10
Elijah Arroyo,TE,SEA,10
Ka'imi Fairbairn,K,HOU,10
Miles Sanders,RB,DAL,10
Evan McPherson,K,CIN,10
Jaleel McLaughlin,RB,DEN,10
Harrison Butker,K,KC,10
New York Jets,DST,NYJ,10
Keenan Allen,WR,FA,10
Calvin Austin III,WR,PIT,10
Juwan Johnson,TE,NO,10
Anthony Richardson Sr.,QB,IND,10
Keaton Mitchell,RB,BAL,10
Tyler Bass,K,BUF,10
Ja'Tavion Sanders,TE,CAR,10
Jarquez Hunter,RB,LAR,10
Devaughn Vele,WR,DEN,10
Pat Bryant,WR,DEN,10
Raheem Mostert,RB,LV,10
San Francisco 49ers,DST,SF,10
Elic Ayomanor,WR,TEN,10
Russell Wilson,QB,NYG,10
Jake Elliott,K,PHI,10
Cole Kmet,TE,CHI,10
Audric Estime,RB,DEN,10
Brashard Smith,RB,KC,11
Elijah Mitchell,RB,KC,11
Tyler Lockett,WR,TEN,11
Jalen Tolbert,WR,DAL,11
Jason Sanders,K,MIA,11
Ollie Gordon II,RB,MIA,11
Diontae Johnson,WR,CLE,11
Brandin Cooks,WR,NO,11
Younghoe Koo,K,ATL,11
Trevor Etienne,RB,CAR,11
Tahj Brooks,RB,CIN,11
Daniel Jones,QB,IND,11
Dyami Brown,WR,JAC,11
Dallas Cowboys,DST,DAL,11
Elijah Moore,WR,BUF,11
Tampa Bay Buccaneers,DST,TB,11
Antonio Gibson,RB,NE,11
Joshua Karty,K,LAR,11
Devin Singletary,RB,NYG,11
Roman Wilson,WR,PIT,11
Jalen Royals,WR,KC,11
Nick Westbrook-Ikhine,WR,MIA,11
Kenneth Gainwell,RB,PIT,11
Kayshon Boutte,WR,NE,11
Amari Cooper,WR,FA,11
Sean Tucker,RB,TB,11
Khalil Herbert,RB,IND,11
Ty Johnson,RB,BUF,11
Matt Gay,K,WAS,11
Noah Gray,TE,KC,11
Malik Washington,WR,MIA,11
Jordan James,RB,SF,11
Cleveland Browns,DST,CLE,11
Woody Marks,RB,HOU,11
Zack Moss,RB,CIN,11
Isaiah Davis,RB,NYJ,11
Tyler Shough,QB,NO,11
Joe Flacco,QB,CLE,11
Harold Fannin Jr.,TE,CLE,11
Tre Tucker,WR,LV,11
Taysom Hill,TE,NO,11
Chicago Bears,DST,CHI,11
Darren Waller,TE,MIA,11
Tim Patrick,WR,DET,11
Alexander Mattison,RB,MIA,11
Noah Fant,TE,FA,11
Dameon Pierce,RB,HOU,11
Terrance Ferguson,TE,LAR,11
Jaxson Dart,QB,NYG,11
Damien Martinez,RB,SEA,11
Daniel Carlson,K,LV,11
Xavier Restrepo,WR,TEN,11
Theo Johnson,TE,NYG,11
Sincere McCormick,RB,LV,11
Kimani Vidal,RB,LAC,12
Parker Washington,WR,JAC,12
Jalen Nailor,WR,MIN,12
Tory Horton,WR,SEA,12
Christian Watson,WR,GB,12
Phil Mafah,RB,DAL,12
Luke McCaffrey,WR,WAS,12
Oronde Gadsden II,TE,LAC,12
Gabe Davis,WR,FA,12
Ty Chandler,RB,MIN,12
Ben Sinnott,TE,WAS,12
Isaac TeSlaa,WR,DET,12
Emanuel Wilson,RB,GB,12
Jason Myers,K,SEA,12
Jermaine Burton,WR,CIN,12
Chris Brooks,RB,GB,12
Jacory Croskey-Merritt,RB,WAS,12
Shedeur Sanders,QB,CLE,12
Tez Johnson,WR,TB,12
New England Patriots,DST,NE,12
Raheim Sanders,RB,LAC,12
Tyler Higbee,TE,LAR,12
Chris Rodriguez Jr.,RB,WAS,12
Tyler Conklin,TE,LAC,12
Dont'e Thornton Jr.,WR,LV,12
Tutu Atwell,WR,LAR,12
Miami Dolphins,DST,MIA,12
Will Reichard,K,MIN,12
Will Dissly,TE,LAC,12
Arizona Cardinals,DST,ARI,12
Zamir White,RB,LV,12
Jordan Whittington,WR,LAR,12
Tai Felton,WR,MIN,12
Cam Akers,RB,NO,12
Tyler Loop,K,BAL,12
Gus Edwards,RB,FA,12
Ray-Ray McCloud III,WR,ATL,12
Marquez Valdes-Scantling,WR,SEA,12
Savion Williams,WR,GB,12
A.J. Dillon,RB,PHI,12
Demarcus Robinson,WR,SF,12
Jalen Milroe,QB,SEA,12
John Metchie III,WR,HOU,12
Justin Tucker,K,FA,12
Troy Franklin,WR,DEN,12
Noah Brown,WR,WAS,12
Samaje Perine,RB,CIN,12
Josh Reynolds,WR,NYJ,12
Dawson Knox,TE,BUF,13
Michael Mayer,TE,LV,13
Jameis Winston,QB,NYG,13
KaVontae Turpin,WR,DAL,13
Chimere Dike,WR,TEN,13
Luke Musgrave,TE,GB,13
Spencer Rattler,QB,NO,13
Mack Hollins,WR,NE,13
Jake Moody,K,SF,13
Austin Hooper,TE,NE,13
Kirk Cousins,QB,ATL,13
New York Giants,DST,NYG,13
Donovan Edwards,RB,NYJ,13
Brandon McManus,K,GB,13
Tank Dell,WR,HOU,13
LeQuint Allen Jr.,RB,JAC,13
Curtis Samuel,WR,BUF,13
Allen Lazard,WR,NYJ,13
Gunnar Helm,TE,TEN,13
Washington Commanders,DST,WAS,13
Greg Dortch,WR,ARI,13
Foster Moreau,TE,NO,13
Cam Little,K,JAC,13
Jaylin Lane,WR,WAS,13
Isaiah Bond,WR,FA,13
Eddy Pineiro,K,FA,13
Kenny Pickett,QB,CLE,13
Jahan Dotson,WR,PHI,13
AJ Barner,TE,SEA,13
Tommy Tremble,TE,CAR,13
Trey Sermon,RB,PIT,13
Jacob Cowing,WR,SF,13
Dillon Gabriel,QB,CLE,13
Luke Schoonmaker,TE,DAL,13
Kalel Mullings,RB,TEN,13
Robert Woods,WR,PIT,13
Atlanta Falcons,DST,ATL,13
Van Jefferson,WR,TEN,13
Arian Smith,WR,NYJ,13
Matt Prater,K,FA,13
Ja'Lynn Polk,WR,NE,13
Mason Rudolph,QB,PIT,13
Emari Demercado,RB,ARI,13
Ameer Abdullah,RB,FA,13
Cincinnati Bengals,DST,CIN,13
Kendrick Bourne,WR,NE,13
Chad Ryland,K,ARI,13
Craig Reynolds,RB,DET,13
Jalin Hyatt,WR,NYG,13
Indianapolis Colts,DST,IND,13
Olamide Zaccheaus,WR,CHI,13
Josh Oliver,TE,MIN,13
Cade Stover,TE,HOU,13
Blake Grupe,K,NO,13
