id,TIERS,PLAYER NAME,TEAM,POS,photo
,4,Jaxon Smith-Njigba,SEA,WR13,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/jaxon_smithnjigba.png
,4,Tyreek Hill,MIA,WR14,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/tyreek_hill.png
,4,Jayden Daniels,WAS,QB3,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/jayden_daniels.png
,4,Garrett Wilson,NYJ,WR15,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/garrett_wilson.png
,4,George Kittle,SF,TE3,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/george_kittle.png
,4,Davante Adams,LAR,WR16,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/davante_adams.png
,4,Breece Hall,NYJ,RB13,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/breece_hall.png
,4,Mike Evans,TB,WR17,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/mike_evans.png
,4,James Cook,BUF,RB14,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/james_cook.png
,4,Jalen Hurts,PHI,QB4,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/jalen_hurts.png
,4,Terry McLaurin,WAS,WR18,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/terry_mclaurin.png
,4,Kenneth Walker III,SEA,RB15,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/kenneth_walker_iii.png
,4,Alvin Kamara,NO,RB16,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/alvin_kamara.png
,4,Marvin Harrison Jr.,ARI,WR19,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/marvin_harrison_jr.png
,5,DJ Moore,CHI,WR20,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/dj_moore.png
,5,Chuba Hubbard,CAR,RB17,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/chuba_hubbard.png
,5,Joe Burrow,CIN,QB5,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/joe_burrow.png
,5,James Conner,ARI,RB18,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/james_conner.png
,5,DK Metcalf,PIT,WR21,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/dk_metcalf.png
,5,Omarion Hampton,LAC,RB19,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/omarion_hampton.png
,5,Courtland Sutton,DEN,WR22,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/courtland_sutton.png
,5,Rashee Rice,KC,WR23,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/rashee_rice.png
,5,Joe Mixon,HOU,RB20,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/joe_mixon.png
,5,DeVonta Smith,PHI,WR24,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/devonta_smith.png
,5,Zay Flowers,BAL,WR25,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/zay_flowers.png
,5,Jameson Williams,DET,WR26,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/jameson_williams.png
,5,David Montgomery,DET,RB21,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/david_montgomery.png
,5,Xavier Worthy,KC,WR27,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/xavier_worthy.png
,5,Sam LaPorta,DET,TE4,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/sam_laporta.png
,5,D'Andre Swift,CHI,RB22,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/d_andre_swift.png
,5,Tetairoa McMillan,CAR,WR28,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/tetairoa_mcmillan.png
,5,TreVeyon Henderson,NE,RB23,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/treveyon_henderson.png
,5,Jaylen Waddle,MIA,WR29,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/jaylen_waddle.png
,5,RJ Harvey,DEN,RB24,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/rj_harvey.png
,6,Patrick Mahomes II,KC,QB6,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/patrick_mahomes.png
,6,Aaron Jones Sr.,MIN,RB25,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/aaron_jones_sr.png
,6,Calvin Ridley,TEN,WR30,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/calvin_ridley.png
,6,Chris Olave,NO,WR31,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/chris_olave.png
,6,Kaleb Johnson,PIT,RB26,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/kaleb_johnson.png
,6,Tony Pollard,TEN,RB27,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/tony_pollard.png
,6,Isiah Pacheco,KC,RB28,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/isiah_pacheco.png
,6,George Pickens,DAL,WR32,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/george_pickens.png
,6,Baker Mayfield,TB,QB7,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/baker_mayfield.png
,6,T.J. Hockenson,MIN,TE5,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/tj_hockenson.png
,6,Travis Hunter,JAC,WR33,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/travis_hunter.png
,6,Chris Godwin,TB,WR34,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/chris_godwin.png
,6,Brian Robinson Jr.,WAS,RB29,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/brian_robinson_jr.png
,6,Bo Nix,DEN,QB8,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/bo_nix.png
,6,Jerry Jeudy,CLE,WR35,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/jerry_jeudy.png
,6,Kyler Murray,ARI,QB9,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/kyler_murray.png
,6,Jordan Addison,MIN,WR36,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/jordan_addison.png
,6,Rome Odunze,CHI,WR37,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/rome_odunze.png
,6,Travis Kelce,KC,TE6,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/travis_kelce.png
,6,Mark Andrews,BAL,TE7,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/mark_andrews.png
,6,Jauan Jennings,SF,WR38,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/jauan_jennings.png
,7,Jakobi Meyers,LV,WR39,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/jakobi_meyers.png
,7,David Njoku,CLE,TE8,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/david_njoku.png
,7,Travis Etienne Jr.,JAC,RB30,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/travis_etienne_jr.png
,7,Tyrone Tracy Jr.,NYG,RB31,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/tyrone_tracy_jr.png
,7,Justin Fields,NYJ,QB10,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/justin_fields.png
,7,Evan Engram,DEN,TE9,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/evan_engram.png
,7,Jaylen Warren,PIT,RB32,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/jaylen_warren.png
,7,Khalil Shakir,BUF,WR40,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/khalil_shakir.png
,7,Brock Purdy,SF,QB11,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/brock_purdy.png
,7,Quinshon Judkins,CLE,RB33,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/quinshon_judkins.png
,7,Caleb Williams,CHI,QB12,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/caleb_williams.png
,7,Dak Prescott,DAL,QB13,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/dak_prescott.png
,7,Jayden Reed,GB,WR41,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/jayden_reed.png
,7,Justin Herbert,LAC,QB14,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/justin_herbert.png
,7,Stefon Diggs,NE,WR42,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/stefon_diggs.png
,7,Deebo Samuel Sr.,WAS,WR43,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/deebo_samuel_sr.png
,7,Javonte Williams,DAL,RB34,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/javonte_williams.png
,7,Najee Harris,LAC,RB35,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/najee_harris.png
,7,Tucker Kraft,GB,TE10,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/tucker_kraft.png
,7,Jared Goff,DET,QB15,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/jared_goff.png
,7,Ricky Pearsall,SF,WR44,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/ricky_pearsall.png
,7,Josh Downs,IND,WR45,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/josh_downs.png
,7,Jordan Mason,MIN,RB36,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/jordan_mason.png
,7,Rhamondre Stevenson,NE,RB37,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/rhamondre_stevenson.png
,7,Drake Maye,NE,QB16,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/drake_maye.png
,7,Zach Charbonnet,SEA,RB38,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/zach_charbonnet.png
,7,Jordan Love,GB,QB17,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/jordan_love.png
,7,Michael Pittman Jr.,IND,WR46,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/michael_pittman_jr.png
,7,Cam Skattebo,NYG,RB39,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/cam_skattebo.png
,7,Cooper Kupp,SEA,WR47,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/cooper_kupp.png
,7,Tyjae Spears,TEN,RB40,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/tyjae_spears.png
,7,Dalton Kincaid,BUF,TE11,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/dalton_kincaid.png
,7,Trevor Lawrence,JAC,QB18,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/trevor_lawrence.png
,7,Darnell Mooney,ATL,WR48,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/darnell_mooney.png
,7,Brandon Aiyuk,SF,WR49,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/brandon_aiyuk.png
,8,C.J. Stroud,HOU,QB19,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/cj_stroud.png
,8,Jake Ferguson,DAL,TE12,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/jake_ferguson.png
,8,Rachaad White,TB,RB41,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/rachaad_white.png
,8,Dallas Goedert,PHI,TE13,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/dallas_goedert.png
,8,Tyler Warren,IND,TE14,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/tyler_warren.png
,8,Tank Bigsby,JAC,RB42,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/tank_bigsby.png
,8,J.K. Dobbins,DEN,RB43,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/jk_dobbins.png
,8,Emeka Egbuka,TB,WR50,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/emeka_egbuka.png
,8,Matthew Golden,GB,WR51,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/matthew_golden.png
,8,J.J. McCarthy,MIN,QB20,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/jj_mccarthy.png
,8,Keon Coleman,BUF,WR52,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/keon_coleman.png
,8,Austin Ekeler,WAS,RB44,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/austin_ekeler.png
,8,Rashid Shaheed,NO,WR53,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/rashid_shaheed.png
,8,Trey Benson,ARI,RB45,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/trey_benson.png
,8,Ray Davis,BUF,RB46,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/ray_davis.png
,8,Matthew Stafford,LAR,QB21,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/matthew_stafford.png
,8,Christian Kirk,HOU,WR54,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/christian_kirk.png
,8,Tua Tagovailoa,MIA,QB22,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/tua_tagovailoa.png
,8,Jonnu Smith,PIT,TE15,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/jonnu_smith.png
,8,Colston Loveland,CHI,TE16,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/colston_loveland.png
,8,Rashod Bateman,BAL,WR55,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/rashod_bateman.png
,8,Tyler Allgeier,ATL,RB47,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/tyler_allgeier.png
,8,Isaac Guerendo,SF,RB48,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/isaac_guerendo.png
,8,Bryce Young,CAR,QB23,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/bryce_young.png
,8,Rico Dowdle,CAR,RB49,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/rico_dowdle.png
,8,Luther Burden III,CHI,WR56,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/luther_burden_iii.png
,8,Hunter Henry,NE,TE17,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/hunter_henry.png
,8,Cedric Tillman,CLE,WR57,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/cedric_tillman.png
,8,Bhayshul Tuten,JAC,RB50,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/bhayshul_tuten.png
,8,Marvin Mims Jr.,DEN,WR58,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/marvin_mims_jr.png
,8,Jaylen Wright,MIA,RB51,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/jaylen_wright.png
,8,Tre Harris,LAC,WR59,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/tre_harris.png
,8,Marquise Brown,KC,WR60,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/marquise_brown.png
,8,Michael Penix Jr.,ATL,QB24,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/michael_penix_jr.png
,8,Jayden Higgins,HOU,WR61,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/jayden_higgins.png
,9,Kyle Pitts,ATL,TE18,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/kyle_pitts.png
,9,Braelon Allen,NYJ,RB52,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/braelon_allen.png
,9,Jaydon Blue,DAL,RB53,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/jaydon_blue.png
,9,Jerome Ford,CLE,RB54,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/jerome_ford.png
,9,Romeo Doubs,GB,WR62,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/romeo_doubs.png
,9,Zach Ertz,WAS,TE19,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/zach_ertz.png
,9,Adam Thielen,CAR,WR63,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/adam_thielen.png
,9,Geno Smith,LV,QB25,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/geno_smith.png
,9,Quentin Johnston,LAC,WR64,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/quentin_johnston.png
,9,Kyle Williams,NE,WR65,
,9,Jalen McMillan,TB,WR66,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/jalen_mcmillan.png
,9,Roschon Johnson,CHI,RB55,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/roschon_johnson.png
,9,Isaiah Likely,BAL,TE20,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/isaiah_likely.png
,9,MarShawn Lloyd,GB,RB56,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/marshawn_lloyd.png
,9,Dylan Sampson,CLE,RB57,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/dylan_sampson.png
,9,Nick Chubb,HOU,RB58,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/nick_chubb.png
,9,Wan'Dale Robinson,NYG,WR67,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/wan_dale_robinson.png
,9,Blake Corum,LAR,RB59,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/blake_corum.png
,9,Xavier Legette,CAR,WR68,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/xavier_legette.png
,9,DeAndre Hopkins,BAL,WR69,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/deandre_hopkins.png
,9,Sam Darnold,SEA,QB26,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/sam_darnold.png
,9,Joshua Palmer,BUF,WR70,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/joshua_palmer.png
,9,Denver Broncos,DEN,DST1,
,9,DeMario Douglas,NE,WR71,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/demario_douglas.png
,9,Mike Gesicki,CIN,TE21,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/mike_gesicki.png
,9,Brenton Strange,JAC,TE22,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/brenton_strange.png
,9,Philadelphia Eagles,PHI,DST2,
,9,Cameron Ward,TEN,QB27,
,9,Pat Freiermuth,PIT,TE23,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/pat_freiermuth.png
,9,Jalen Coker,CAR,WR72,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/jalen_coker.png
,9,Jack Bech,LV,WR73,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/jack_bech.png
,9,Kareem Hunt,KC,RB60,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/kareem_hunt.png
,9,Alec Pierce,IND,WR74,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/alec_pierce.png
,9,Cade Otton,TB,TE24,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/cade_otton.png
,9,Baltimore Ravens,BAL,DST3,
,9,Minnesota Vikings,MIN,DST4,
,10,Pittsburgh Steelers,PIT,DST5,
,10,DJ Giddens,IND,RB61,
,10,Chig Okonkwo,TEN,TE25,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/chig_okonkwo.png
,10,Justice Hill,BAL,RB62,
,10,Houston Texans,HOU,DST6,
,10,Aaron Rodgers,PIT,QB28,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/aaron_rodgers.png
,10,Kansas City Chiefs,KC,DST7,
,10,Michael Wilson,ARI,WR75,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/michael_wilson.png
,10,Buffalo Bills,BUF,DST8,
,10,Mason Taylor,NYJ,TE26,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/mason_taylor.png
,10,Brandon Aubrey,DAL,K1,
,10,Adonai Mitchell,IND,WR76,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/adonai_mitchell.png
,10,Dalton Schultz,HOU,TE27,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/dalton_schultz.png
,10,Jake Bates,DET,K2,
,10,Dontayvion Wicks,GB,WR77,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/dontayvion_wicks.png
,10,Detroit Lions,DET,DST9,
,10,Kendre Miller,NO,RB63,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/kendre_miller.png
,10,Jaylin Noel,HOU,WR78,
,10,Los Angeles Rams,LAR,DST10,
,10,Darius Slayton,NYG,WR79,
,10,Wil Lutz,DEN,K3,
,10,Los Angeles Chargers,LAC,DST11,
,10,Cameron Dicker,LAC,K4,
,10,Green Bay Packers,GB,DST12,
,10,Andrei Iosivas,CIN,WR80,
,10,Devin Neal,NO,RB64,
,10,Chris Boswell,PIT,K5,
,10,Seattle Seahawks,SEA,DST13,
,10,Will Shipley,PHI,RB65,
,10,Chase McLaughlin,TB,K6,
,10,Kyle Monangai,CHI,RB66,
,10,Elijah Arroyo,SEA,TE28,
,10,Ka'imi Fairbairn,HOU,K7,
,10,Miles Sanders,DAL,RB67,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/miles_sanders.png
,10,Evan McPherson,CIN,K8,
,10,Jaleel McLaughlin,DEN,RB68,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/jaleel_mclaughlin.png
,10,Harrison Butker,KC,K9,
,10,New York Jets,NYJ,DST14,
,10,Keenan Allen,FA,WR81,
,10,Calvin Austin III,PIT,WR82,
,10,Juwan Johnson,NO,TE29,
,10,Anthony Richardson Sr.,IND,QB29,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/anthony_richardson_sr.png
,10,Keaton Mitchell,BAL,RB69,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/keaton_mitchell.png
,10,Tyler Bass,BUF,K10,
,10,Ja'Tavion Sanders,CAR,TE30,
,10,Jarquez Hunter,LAR,RB70,
,10,Devaughn Vele,DEN,WR83,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/devaughn_vele.png
,10,Pat Bryant,DEN,WR84,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/pat_bryant.png
,10,Raheem Mostert,LV,RB71,
,10,San Francisco 49ers,SF,DST15,
,10,Elic Ayomanor,TEN,WR85,
,10,Russell Wilson,NYG,QB30,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/russell_wilson.png
,10,Jake Elliott,PHI,K11,
,10,Cole Kmet,CHI,TE31,
,10,Audric Estime,DEN,RB72,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/audric_estime.png
,11,Brashard Smith,KC,RB73,
,11,Elijah Mitchell,KC,RB74,
,11,Tyler Lockett,TEN,WR86,
,11,Jalen Tolbert,DAL,WR87,
,11,Jason Sanders,MIA,K12,
,11,Ollie Gordon II,MIA,RB75,
,11,Diontae Johnson,CLE,WR88,
,11,Brandin Cooks,NO,WR89,
,11,Younghoe Koo,ATL,K13,
,11,Trevor Etienne,CAR,RB76,
,11,Tahj Brooks,CIN,RB77,
,11,Daniel Jones,IND,QB31,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/daniel_jones.png
,11,Dyami Brown,JAC,WR90,
,11,Dallas Cowboys,DAL,DST16,
,11,Elijah Moore,BUF,WR91,
,11,Tampa Bay Buccaneers,TB,DST17,
,11,Antonio Gibson,NE,RB78,
,11,Joshua Karty,LAR,K14,
,11,Devin Singletary,NYG,RB79,
,11,Roman Wilson,PIT,WR92,
,11,Jalen Royals,KC,WR93,
,11,Nick Westbrook-Ikhine,MIA,WR94,
,11,Kenneth Gainwell,PIT,RB80,
,11,Kayshon Boutte,NE,WR95,
,11,Amari Cooper,FA,WR96,
,11,Sean Tucker,TB,RB81,
,11,Khalil Herbert,IND,RB82,
,11,Ty Johnson,BUF,RB83,
,11,Matt Gay,WAS,K15,
,11,Noah Gray,KC,TE32,
,11,Malik Washington,MIA,WR97,
,11,Jordan James,SF,RB84,
,11,Cleveland Browns,CLE,DST18,
,11,Woody Marks,HOU,RB85,
,11,Zack Moss,CIN,RB86,https://wp.theringer.com/wp-content/uploads/fantasy-football/2025/players/zack_moss.png
